23076,3_4_15_18_19_22,9
23077,7_9_14_22_26_27,1
23078,6_8_14_19_30_31,8
23079,5_6_9_12_21_22,7
23080,1_2_4_9_25_31,8
23081,1_11_15_16_22_31,15
23082,4_18_19_24_27_30,16
23083,7_10_12_16_17_30,12
23084,9_13_14_17_19_27,3
23085,11_18_23_24_31_33,13
23086,8_9_10_22_26_32,12
23087,2_9_15_17_28_33,1
23088,1_14_18_26_31_33,5
23089,8_13_15_27_28_31,11
23090,1_2_9_26_30_31,7
23091,16_20_22_26_30_32,16
23092,3_12_24_25_32_33,13
23093,10_21_24_25_27_32,7
23094,6_10_12_14_30_31,12
23095,3_8_16_17_22_26,11
23096,8_11_18_26_31_32,15
23097,1_9_14_19_29_30,15
23098,2_10_11_14_21_27,11
23099,9_11_14_19_27_33,5
23100,5_6_12_15_23_25,4
23101,1_5_9_15_18_26,4
23102,1_9_10_13_21_28,10
23103,5_6_13_24_25_29,15
23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23076,3_4_15_18_19_22,9
23077,7_9_14_22_26_27,1
23078,6_8_14_19_30_31,8
23079,5_6_9_12_21_22,7
23080,1_2_4_9_25_31,8
23081,1_11_15_16_22_31,15
23082,4_18_19_24_27_30,16
23083,7_10_12_16_17_30,12
23084,9_13_14_17_19_27,3
23085,11_18_23_24_31_33,13
23086,8_9_10_22_26_32,12
23087,2_9_15_17_28_33,1
23088,1_14_18_26_31_33,5
23089,8_13_15_27_28_31,11
23090,1_2_9_26_30_31,7
23091,16_20_22_26_30_32,16
23092,3_12_24_25_32_33,13
23093,10_21_24_25_27_32,7
23094,6_10_12_14_30_31,12
23095,3_8_16_17_22_26,11
23096,8_11_18_26_31_32,15
23097,1_9_14_19_29_30,15
23098,2_10_11_14_21_27,11
23099,9_11_14_19_27_33,5
23100,5_6_12_15_23_25,4
23101,1_5_9_15_18_26,4
23102,1_9_10_13_21_28,10
23103,5_6_13_24_25_29,15
23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23076,3_4_15_18_19_22,9
23077,7_9_14_22_26_27,1
23078,6_8_14_19_30_31,8
23079,5_6_9_12_21_22,7
23080,1_2_4_9_25_31,8
23081,1_11_15_16_22_31,15
23082,4_18_19_24_27_30,16
23083,7_10_12_16_17_30,12
23084,9_13_14_17_19_27,3
23085,11_18_23_24_31_33,13
23086,8_9_10_22_26_32,12
23087,2_9_15_17_28_33,1
23088,1_14_18_26_31_33,5
23089,8_13_15_27_28_31,11
23090,1_2_9_26_30_31,7
23091,16_20_22_26_30_32,16
23092,3_12_24_25_32_33,13
23093,10_21_24_25_27_32,7
23094,6_10_12_14_30_31,12
23095,3_8_16_17_22_26,11
23096,8_11_18_26_31_32,15
23097,1_9_14_19_29_30,15
23098,2_10_11_14_21_27,11
23099,9_11_14_19_27_33,5
23100,5_6_12_15_23_25,4
23101,1_5_9_15_18_26,4
23102,1_9_10_13_21_28,10
23103,5_6_13_24_25_29,15
23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23076,3_4_15_18_19_22,9
23077,7_9_14_22_26_27,1
23078,6_8_14_19_30_31,8
23079,5_6_9_12_21_22,7
23080,1_2_4_9_25_31,8
23081,1_11_15_16_22_31,15
23082,4_18_19_24_27_30,16
23083,7_10_12_16_17_30,12
23084,9_13_14_17_19_27,3
23085,11_18_23_24_31_33,13
23086,8_9_10_22_26_32,12
23087,2_9_15_17_28_33,1
23088,1_14_18_26_31_33,5
23089,8_13_15_27_28_31,11
23090,1_2_9_26_30_31,7
23091,16_20_22_26_30_32,16
23092,3_12_24_25_32_33,13
23093,10_21_24_25_27_32,7
